pmid,doctor
11972091,"['Alberto S. Pappo', 'Najat C. Daw']"
11972094,['Melissa M. Hudson']
11972400,['Diane C. Bodurka']
11972406,['Bradley J. Monk']
11975672,['Eduardo Bruera']
11975947,['Michael Carney']
11975969,['John O. Schorge']
11976731,['Nima Sharifi']
11976831,['Marc S. Ernstoff']
11979419,"['Jeffrey A. Meyerhardt', 'Charles S. Fuchs']"
11979552,"['Richard A. Larson', 'Michelle M. Le Beau']"
11980673,['Jack A. Roth']
11980999,['Elaine Morgan']
11981001,"['Jeffrey E Rubnitz', 'Ching-Hon Pui', 'James Downing', 'Frederick G. Behm']"
11981003,['Larry Norton']
11981010,"['Harry W. Herr', 'Paul Russo']"
11981011,"['Robert J. Motzer', 'Paul Russo']"
11981210,['Gerard M. Doherty']
11981219,['Kim-Anh Do']
11981269,['Kenneth J. Pienta']
11981281,['Roy S. Herbst']
11983866,"['Ravi Salgia', 'Jerome Ritz', 'Edwin Alyea', 'F. Stephen Hodi']"
11986023,['William R. Jarnagin']
11986185,['Mahmoud El-Tamer']
11986192,['Roderich E. Schwarz']
11986195,['Brian J. Czerniecki']
11986204,"['Richard M. Stone', 'Richard A. Larson', 'Charles L. Sawyers']"
11986206,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
11986230,['Rafael Fonseca']
11986232,['David A. Scheinberg']
11986238,"['Stephen J. Forman', 'Charles L. Sawyers']"
11986403,['Charis Eng']
11988246,['Atif J. Khan']
11988408,['Michael S. Simon']
11988838,['Kenneth J. Pienta']
11990305,['Najat C. Daw']
11990694,"['Paul A. Meyers', 'Leonard H. Wexler']"
11991243,['Steven Jubelirer']
11992049,['David M. Peereboom']
11992182,['Francine M. Foss']
11992760,['Mark M. Souweidane']
11992800,['Parkash S. Gill']
11993784,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
11994589,['Kelly Hunt']
11994980,['Gabriel Lopez-Berestein']
11994983,['Stephan Thome']
11997559,['Dennis Chi']
11998794,['Ira J. Dunkel']
11999950,['Kelly Hunt']
12000221,['Kevin J. Cullen']
12000860,['Patrick Hwu']
12000866,['Patrick Hwu']
12000869,['Thomas Gajewski']
