pmid,HGNC
12186971,CTLA4
12188943,DNMT1
12191565,BCR
12191565,ABL1
12192595,ACTG1
12193477,VEGFA
12195305,RTEL1
12196213,BCR
12196213,ABL1
12196274,MET
12196278,EGFR
12196745,DNMT1
12199627,VEGFA
12200352,ESR1
12200353,BCR
12200353,ABL1
12202668,NR4A3
12202783,EGFR
12203792,NR4A3
12203792,PTEN
12204532,BCR
12204532,ABL1
12204533,EGFR
12206602,ARID1A
12208756,VEGFA
12208756,ACTG1
12208756,KDR
12208756,FLT1
12208864,ESR1
12209598,BCR
12209598,ABL1
12209598,KIT
12209598,PDGFB
12209598,CTLA4
12209692,MET
12209699,PGR
12209699,NR4A3
12209733,BCR
12209733,ABL1
12209733,KIT
12210482,FANCA
12210482,CTLA4
12213576,EGFR
12213576,ERBB2
12214291,BCR
12215248,BRCA1/2
12215248,NPM1
12216106,MYCN
12219781,NR4A3
12219781,CTLA4
12223436,IGF1
12226754,NFKBIA
12226754,REL
12228197,NR4A3
12228198,MET
12228199,NR4A3
12228199,AR
12228201,EGFR
12228211,KIT
12228211,DNMT1
12231068,AKT1
12231544,BCR
12231544,ABL1
12231544,FH
12234168,CTLA4
12234976,CTLA4
12234991,EGFR
12234991,AKT1
12234993,EGFR
12235008,ESR1
12237282,BRCA1/2
12237919,ESR1
12237927,VEGFA
12242694,RARA
12242694,CREB1
12242694,EIF4E
12243551,RTEL1
12351420,BCR
12351420,ABL1
12351569,SDHD
12351569,VHL
12351569,SDHC
12351569,SDHB
12351594,ALK
12353276,RET
12354363,CTLA4
12354363,KIT
12355576,BRD4
12356357,ACTG1
12357306,MAX
12358901,VEGFA
12358901,BCR
12359762,BCR
12359763,RTEL1
12365012,ERBB2
12365012,KIT
12365015,BCR
12365015,ABL1
12370270,VEGFA
12370270,PPARG
12370429,APC
12370429,PPARG
12370825,ESR1
12370825,BRCA1/2
12370825,MST1
12374452,BCR
12374454,MET
12374677,NT5C2
12374693,VEGFA
12374693,CTLA4
12374696,EGFR
12374696,AKT1
12375797,VEGFA
12375797,EGFR
12376518,BRCA1/2
12378599,EGFR
12378599,MYC
12379069,BRCA1/2
12379069,EGFR
12379854,PTEN
12381519,ATM
12382194,BRCA1/2
12384400,VEGFA
12384435,IGF1
12384435,CTLA4
12384435,AKT1
12384807,CTLA4
12387652,ESR1
12388254,VEGFA
12388647,MAX
12391285,PPARG
12391322,IGF1
12391322,FANCA
12391322,AKT1
12392638,KIT
12393385,BCR
12393385,NR4A3
12393402,CTLA4
12393420,XIAP
12393420,CTLA4
12393420,MTOR
