pmid,tsne1,tsne2
11799530,-13.369908,-52.39252
11800340,14.821208,-38.77618
11801310,2.121936,-43.918777
11801543,-53.34229,-18.056274
11801551,-14.508047,35.7478
11801572,-14.316348,26.120174
11801702,6.1132164,19.23956
11804743,6.5054326,33.46669
11806975,-13.743933,-38.34167
11806985,-5.5624824,-4.0272493
11807010,-30.8329,-3.7910337
11808936,-3.6803508,-11.52153
11809705,-19.884607,48.67297
11812088,40.71614,17.63917
11812558,-0.579476,52.07793
11814145,68.431175,-3.4969685
11815394,13.4704685,35.011116
11815954,-5.3043923,-8.331917
11815964,-41.652256,-22.080795
11815965,2.4629467,43.309696
11815977,29.256824,22.713078
11815998,11.07493,-26.02846
11818484,-6.6861324,-17.41339
11820781,-16.125113,43.643112
11821445,-31.50443,-40.474365
11821449,27.127117,19.550344
11821450,19.734915,-4.9079404
11821452,16.933231,-3.0690234
11821453,-39.10636,-17.872824
11821455,-2.4122183,14.508403
11821456,-16.623135,-47.5588
11823119,-32.044495,-7.6193757
11823706,-33.75798,-28.295782
11823969,-4.6569953,-37.789345
11826185,4.2900386,35.205105
11826187,15.844701,43.901573
11826603,68.34262,-3.540211
11827870,8.424666,20.537268
11828354,21.986685,-21.762577
11830312,7.5001774,17.185297
11830525,-4.982917,1.2525394
11832716,29.373041,11.538242
11832719,16.716307,16.215624
11832771,-0.62036794,52.27102
11834020,6.807405,16.640404
11834401,47.06949,-24.497938
11834954,-36.116047,-36.718266
11836585,0.48137468,38.211113
11836586,28.133184,53.056465
11838648,-1.1754935,37.438103
11839235,17.105831,-52.14663
11839651,-29.719149,2.765834
11839653,-47.056705,-20.251966
11839655,32.06869,-30.741629
11839675,-4.150708,37.42651
11839684,-30.331621,33.958683
11839685,-30.362978,37.778606
11841558,-13.058915,4.891199
11842392,-20.029823,-33.25831
11842394,-30.780355,-7.24041
11844246,-28.929604,2.8562968
11844594,25.691677,53.353596
11844816,34.563972,5.3571463
11844821,-50.90559,-19.796734
11844822,31.274572,41.251514
11845768,54.228523,-21.67256
11847002,-23.419283,19.022507
11848629,5.4048014,-28.010052
11850344,49.39794,25.33123
11850835,-42.593754,37.57249
11852999,-46.631607,-19.82699
11854177,23.447737,40.75314
11854390,57.468605,-10.104496
11854391,-12.076579,-13.663705
11855873,-20.861307,-23.798676
11855882,32.022575,-11.713011
11855892,62.068153,-4.3740754
11856154,-35.389248,-30.301199
11856157,29.8825,33.15088
11856595,5.908867,-20.522684
11856696,32.033337,23.364246
11856795,-2.3694885,-4.3313646
11857037,-34.98202,11.914107
11857085,-22.439701,48.327843
11857295,-41.760483,-30.227919
11857300,-21.016645,-19.437096
11857314,21.08125,-5.9722867
11857316,-35.07388,5.3621693
11857386,-28.114687,6.6715064
11859202,-0.8760266,36.261063
11861270,-18.105587,-56.522926
11861369,-22.515789,23.308727
11861401,-31.219324,32.31256
11862502,17.346405,-50.226562
11863228,-5.4650846,5.141809
11866704,50.04726,-32.993225
11867505,53.03719,26.15173
11867721,-5.772267,7.2115893
