pmid,tsne1,tsne2
12019370,-40.642174,-21.31275
12020170,1.381072,17.060709
12020395,-15.254304,25.497478
12021307,-33.459305,-3.2949545
12023792,-2.0093124,11.356816
12023956,-39.755577,-27.472836
12023992,17.243221,-44.987232
12023993,16.797466,-44.934147
12026238,-14.867788,15.001943
12029434,51.81508,13.186892
12029548,-20.073328,7.554305
12031359,25.71393,-6.731101
12031374,37.207653,-18.684748
12031380,1.7421898,10.986987
12031864,-7.333679,-1.1782753
12035031,19.848345,-5.8406663
12035835,-26.28667,24.272652
12036407,-9.447591,-10.238637
12036413,0.30798832,20.541271
12036427,-16.223724,7.8096113
12036687,-37.61151,40.96113
12036851,-38.367374,21.87803
12036859,-21.279263,30.578562
12036860,-28.012785,36.9612
12036884,-37.13062,-4.000157
12036895,-37.574398,34.779053
12036900,-39.86453,0.953225
12036906,-32.664894,-29.158697
12036916,-29.697155,7.902339
12036925,-45.435585,-28.488743
12036931,-32.090965,-6.5332003
12038950,-20.612991,17.689997
12039921,-6.323109,43.733078
12039922,-0.9488469,46.690327
12039924,10.584373,-22.252337
12039933,12.632005,-46.729015
12040279,-0.062695295,22.486975
12040281,17.057856,6.1995773
12040286,5.867878,41.275154
12040287,7.769042,-17.12369
12040289,3.8216078,43.136818
12040295,-4.7855163,36.027126
12041516,13.800674,-16.876883
12042700,-48.52654,4.298086
12042703,-44.353226,-34.737705
12042704,-42.048,5.172685
12042710,-42.596176,13.2140465
12042984,-33.296093,35.85784
12044015,39.532135,2.0182457
12044239,14.517229,2.6034868
12044242,-12.809084,-3.265813
12044243,-19.333569,-6.986863
12045065,-0.77262276,19.920994
12047134,-39.26792,18.556046
12048272,13.42568,-45.17232
12048274,12.467838,33.125885
12048275,5.6093044,-43.242603
12048667,7.949916,-13.54827
12049533,15.986087,-38.354507
12049536,26.520803,-13.671188
12050101,8.683177,-28.727205
12051873,-33.423557,-9.403727
12051874,3.6545074,44.04644
12052255,2.0397146,-22.61024
12052756,31.53051,-25.926943
12052763,-31.941563,-20.942715
12053861,-15.77195,8.040652
12054425,-35.949436,-28.29055
12055390,32.019432,4.6210666
12056962,-31.993196,-6.2323093
12057038,0.35206947,20.517063
12057044,1.7128359,42.521477
12057046,0.3345815,20.509514
12057073,25.042036,-29.751522
12057079,-15.892617,-22.694483
12057081,39.422188,9.031386
12057089,10.852528,15.120605
12057863,-6.8693867,23.637377
12060117,-22.44472,31.216562
12060130,-32.82253,42.37572
12060497,-27.218285,0.37909862
12060604,-34.18919,9.203732
12060605,-10.979799,-9.281928
12060629,6.5440984,-28.084217
12060634,-45.26939,11.762765
12061726,-36.096336,-8.496473
12061815,-39.044456,-26.41186
12063831,21.650429,2.2012289
12064365,-37.31626,32.67185
12065559,1.8691692,42.268417
12065561,4.2249746,45.583458
12065566,-7.1426663,-0.5630264
12065795,10.623624,17.147018
12065796,7.0279355,12.39369
12065797,8.129776,3.2861018
12065798,40.03313,29.603556
12067983,-11.894813,45.52864
12067995,-17.122107,-37.039406
12068383,-24.083456,4.1017866
12070006,-43.146088,17.705273
12070008,-43.182594,16.956203
12070010,-36.12705,20.880339
12070033,-36.600277,14.403322
12072546,-31.410206,-9.391602
12072547,1.7849373,-52.30858
12072633,25.20666,-8.590164
12074326,11.997106,16.985855
12074327,-6.516525,-26.77984
12074764,-21.1844,30.055525
12075703,9.125736,15.996207
12075915,50.892815,2.6085968
12076905,3.276195,-4.267126
12077755,16.697067,-4.296182
12079306,28.894592,2.9293034
12082544,-20.965872,-41.86094
12082548,-32.648354,-26.449238
12083634,3.749382,42.710533
12084194,4.5482483,23.44141
12084350,-13.381955,16.592247
12084714,-29.067675,-22.808191
12085234,-33.733826,-10.03639
12086670,-29.803873,-32.16133
12086872,-45.257538,12.676527
12086882,-19.453701,-9.283033
12086889,-46.89332,5.1265154
12086890,-45.096603,11.5374975
12087137,29.696087,-37.922974
12088116,-16.188107,-2.8334007
12089225,-37.678005,23.169804
12089232,-7.133818,-0.5759644
12091329,-40.21912,30.379787
12091333,-33.156628,28.281914
12091357,-34.575974,8.481542
12091368,-39.98582,-3.7846665
12091817,-31.51576,-8.334566
12093945,-20.314482,25.80813
12094374,-22.75032,23.245949
12094541,0.74443877,42.691883
12095553,33.322437,-9.017181
12095911,-45.246887,-28.761217
12095968,14.005646,3.086111
12095969,34.596848,-6.8214617
12095976,-34.61604,5.221017
12096084,14.998657,-42.429253
12096085,15.562899,37.195946
12097257,-12.9773,-42.240448
12097260,-21.22164,-24.418684
12097269,-28.880949,-22.911894
12097284,-32.722977,-8.52684
12097302,-34.575207,-21.691149
12099190,52.69149,-9.596565
12099577,-12.893211,-4.188501
12100142,-44.002693,14.756045
12100691,-27.795242,26.042988
12101412,-25.7089,-32.607044
12101424,-46.94291,6.3870907
12101426,-7.4592466,-36.610214
12102578,-14.249649,-8.715601
12103372,13.998951,-2.6994407
12107213,59.003685,-1.7020022
12108893,1.4064082,20.482067
12108895,1.2883387,21.160454
12108896,1.2035986,21.108315
12108897,7.3539624,16.288448
12108899,-2.9192622,-0.67808354
12108901,7.764519,8.58145
12108902,24.703165,7.1755905
12108918,11.03733,16.346613
12109342,-1.8603576,-9.850113
12109356,-12.854803,-21.917665
12109359,22.644468,-39.86841
12109799,8.258396,45.310207
12109800,10.467305,47.12478
12109804,8.87838,7.7361565
12111105,-0.13722149,47.8888
12111110,-29.401041,26.11432
12111119,-31.554953,-4.3773775
12111120,-28.599136,3.8176777
12111649,-41.60099,17.873192
12113048,-0.1637561,22.121126
12113051,-33.24621,9.119744
12114217,-13.267292,-3.821193
12114403,-33.233017,3.1313608
12114406,13.929244,-27.330887
12114412,-26.569511,37.96629
12114413,-13.373506,45.965096
12114417,-31.89381,27.679722
12114418,-31.610397,28.007511
12114422,-53.953655,9.659277
12114423,-45.118805,8.753132
12114448,-34.86487,20.777561
12115322,38.180187,13.303195
12115325,-19.110914,24.375128
12115328,-17.839802,28.493105
12115341,31.182848,-7.286926
12115351,-2.441104,34.515957
12115355,-0.32835233,44.623905
12115358,2.4739478,19.359993
12115395,0.67759603,-43.59904
12115478,-27.514091,-7.965724
12116072,54.853607,-0.7514948
12117190,9.398899,-4.7317386
12118020,5.6687155,44.221138
12118391,28.439213,22.56646
12118764,27.450857,3.182572
12119278,-34.83267,-33.405285
12122002,-25.534842,-33.286583
12123535,-2.6086445,-9.571178
12123536,-11.246076,-27.380657
12124170,-45.705654,19.947514
12124173,-44.889385,-3.7104402
12124177,-47.34764,-2.9270594
12124833,10.003593,44.30754
12124835,4.0858765,44.810352
12124836,29.192398,-21.753538
12124838,16.206068,8.245813
12126507,-2.5519228,-52.761456
12127724,-34.29555,-24.714926
12127961,-20.09365,-39.063213
12128123,-7.757756,-26.129913
12128124,32.81518,-9.415265
12128129,22.793406,17.666878
12130488,-39.21589,17.540796
12131088,26.546198,0.07140041
12131153,10.657498,-20.144577
12131305,3.9409297,24.474554
12131429,9.096941,-14.5776825
12132736,-13.724425,15.994282
12133274,-30.209925,-9.1238
12134369,3.839486,11.019872
12138396,-5.7018538,25.629189
12138397,0.40624297,20.485067
12138400,-35.634827,-25.737906
12138402,-15.653467,-11.688345
12138408,7.549472,-2.0530658
12139635,8.582531,-10.274411
12142558,-11.716803,29.398947
12142560,-13.000755,18.619396
12142791,9.9734,-9.707848
12145056,32.918545,-22.51619
12145312,-21.20738,-48.533802
12145531,17.520449,13.152891
12149051,40.099346,-2.51242
12149200,-45.326405,15.109802
12149202,-26.702091,36.872738
12149203,-22.915232,2.7606013
12149204,-34.8265,20.688473
12149226,-54.04598,9.807035
12149290,21.974321,47.7931
12149292,40.64377,-19.125805
12149295,16.125546,8.641193
12149300,-21.387875,30.257114
12149301,6.8488636,38.886204
12149306,42.940746,29.909359
12149307,42.82547,29.603395
12149456,-45.54872,-2.9325962
12149644,-46.714645,-9.732043
12151149,19.455023,-29.718264
12151346,-32.859432,-28.427492
12153163,-27.949965,42.971924
12153184,-51.66932,20.856483
12154042,-35.76975,-36.720753
12161355,-28.080082,36.14673
12161751,-43.753895,-28.0758
12162686,-36.060547,11.009121
12162763,-16.013056,7.9331617
12162819,-32.719303,-9.916893
12162911,-49.453934,23.130127
12162914,-48.915146,22.684212
12163325,50.198982,-17.323242
12163360,-8.517267,-30.989414
12163369,-7.115589,-43.305645
12163460,-33.332508,-10.518668
12164555,10.467687,4.0172596
12164682,-10.12382,-20.289042
12165506,-14.199853,-23.78091
12165641,50.32205,-21.233742
12167579,32.75692,-19.804747
12167583,25.630342,-5.961814
12167786,11.638289,36.416336
12168084,10.799395,-27.454683
12168088,-13.890859,1.9158021
12168962,31.479391,-20.290201
12170085,13.658128,-17.671959
12170773,-37.11826,-25.81221
12170776,-35.458855,-25.487274
12170777,-38.240147,-25.9045
12171425,-5.1779456,36.837738
12171483,-38.021954,33.24024
12171876,-11.105563,37.171078
12171878,-7.982747,41.90738
12171879,-10.58372,45.19182
12171886,43.412045,-21.321287
12171891,-31.233225,-13.583563
12171905,-14.300967,2.3624887
12172290,-29.928879,-13.205371
12172547,-44.456722,9.431099
12172974,-39.729237,-18.826538
12172976,-14.120231,50.602356
12173037,-37.77066,-25.983044
12173318,37.966328,-8.111753
12173327,2.5615184,48.5201
12173328,14.701138,-16.037775
12173333,-40.389584,0.46041495
12173340,18.715334,-12.703711
12173345,-23.402302,19.711206
12173347,-0.106717825,-15.253445
12173492,18.705837,9.108352
12173712,10.6625,-23.465364
12173715,-23.997705,9.872288
12174634,22.89762,-15.46059
12176867,-48.473713,4.2515874
12176876,-44.370064,35.038082
12176882,-27.199247,43.594105
12176916,-28.024895,27.003796
12177096,9.652249,32.42753
12177113,-2.770063,34.824215
12177606,-31.703762,-6.932533
12181401,-3.4521756,11.41201
12182418,-10.968219,-8.942597
12182973,22.35796,15.620581
12182994,39.564873,35.31908
12183422,-31.661095,-7.8340807
12184413,19.053373,-5.3119607
12185297,14.54665,2.6729932
12185299,-44.771317,39.920216
12186216,-16.758743,21.46233
12187203,27.127417,-10.080567
12187216,37.31906,-18.697706
12187331,-33.73759,-13.817349
12188943,20.63154,27.283102
12189205,-42.39184,-22.861296
12191565,-47.262108,-2.3225865
12192324,25.281733,8.359054
12192595,-30.1571,-14.663658
12193477,-13.147538,2.3356106
12194793,-2.5409145,-52.72326
12195305,-21.122707,12.899675
12195643,28.188154,-37.378696
12195692,-0.9136217,17.091976
12196213,-38.646946,15.002109
12196214,-51.714413,20.800373
12196274,17.24681,-23.65037
12196278,0.83188665,-43.6898
12196745,42.250183,33.36048
12197215,5.4965205,45.379143
12197224,-6.2457037,-22.32435
12198634,8.702912,-0.57203996
12198635,-2.7692456,-5.1110244
12199627,-12.564993,3.230315
12200352,-39.271786,22.187527
12200353,-26.525942,33.683044
